original_index,is_outlier,begruendung,zielspalten_bewertet
165,False,"Die Werte sind für ein Kaffee-Abo-Angebot plausibel: 4187 Views, 22 Replies und 12 Votes zeigen solides Interesse an einem Nischenprodukt (Specialty Coffee). Der Preis von 0.0 ist nachvollziehbar, da es sich um ein Abo-Modell handelt, bei dem der konkrete Preis variabel ist, und die 25% Ersparnis (saving: 0.25) den beworbenen Rabatt korrekt widerspiegelt.","['replies', 'views', 'votes', 'price', 'saving']"
166,False,"Die Werte sind für ein Mittelklasse-Smartphone (Xiaomi Redmi Note 9 Pro) plausibel: Preis von ~326€ entspricht dem Marktsegment, hohe Views (33447) und viele Replies (188) passen zu einem beliebten Deal in der Smartphone-Kategorie. Votes bei 0 und keine Ersparnis angegeben sind unauffällig.","['replies', 'views', 'votes', 'price', 'saving']"
167,False,"Die Werte sind für eine Dashcam im Preissegment von ~100 CAD plausibel. 33 Antworten, 7962 Views und 12 Votes zeigen solides Interesse an einem Automotive-Deal, was für diese Produktkategorie und den Preisnachlass typisch ist.","['replies', 'views', 'votes', 'price', 'saving']"
168,False,"Die Werte sind für ein Whey Protein Produkt (6 Pfund) im Kontext plausibel: Preis von ~60 CAD ist marktüblich für diese Menge MuscleTech Protein, die hohen Views (3902) und moderate Anzahl an Replies (14) passen zur Beliebtheit von Fitness-Supplements in Deal-Foren, und die leicht negativen Votes (-4) deuten auf gemischte Meinungen zum Deal hin, was bei Proteinpulver-Angeboten nicht ungewöhnlich ist.","['replies', 'views', 'votes', 'price', 'saving']"
169,False,"Die Werte sind für ein kostenloses 3-Monats-Probe-Angebot von Amazon Music Unlimited plausibel. 6650 Views, 27 Replies und 13 Votes zeigen solides Interesse an einem attraktiven Gratis-Deal im Entertainment-Bereich, was typisch für solche Streaming-Angebote ist.","['replies', 'views', 'votes', 'price', 'saving']"
170,False,"Die Werte sind für einen attraktiven Pizza-Deal (50% Rabatt bei Domino's) plausibel: 8239 Views und 13 Votes zeigen solides Interesse, 17 Replies sind angemessen für einen regionalen Deal (YMMV, Mississauga/Brampton). Price und Saving bei 0.0 sind typisch für prozentuale Rabattaktionen ohne spezifischen Festpreis.","['replies', 'views', 'votes', 'price', 'saving']"
171,False,"Die Werte sind im Kontext eines attraktiven Finanzangebots (50$ Bonus für Kreditkartenaktivierung) plausibel. Hohe Views (33.197) und viele Replies (237) bei moderaten Votes (22) passen zu einem zeitlich begrenzten, wertvollen Deal, der breites Interesse weckt aber kontrovers diskutiert wird.","['replies', 'views', 'votes', 'price', 'saving']"
172,False,"Die Werte sind im Kontext plausibel: NES/SNES Classic Mini sind beliebte Retro-Konsolen, der Preis von ~65$ (refurbished) ist marktüblich. Die hohen Views (24128) und das starke Engagement (124 Replies, 52 Votes) passen zur Popularität dieser Nintendo-Produkte in der Gaming-Community.","['replies', 'views', 'votes', 'price', 'saving']"
173,False,"Die Werte sind für einen Monitor-Laptop-Mount-Deal plausibel: Preis von 50,99$ mit 57$ Ersparnis ist realistisch für solches Zubehör, 2217 Views zeigen solides Interesse an einem zeitlich begrenzten Lightning Deal, und 4 Replies bei 0 Votes deuten auf moderate Engagement-Aktivität hin, die für Computer-Zubehör typisch ist.","['replies', 'views', 'votes', 'price', 'saving']"
174,False,"Der Preis von 20$ für eine Gusseisen-Grillplatte ist realistisch und marktüblich. Die 732 Views bei 0 Votes und 0 Replies sind für einen regionalen Deal (GTA) im Home & Garden Bereich unauffällig, da solche Produkte oft angesehen, aber weniger diskutiert werden.","['replies', 'views', 'votes', 'price', 'saving']"
175,False,"Die Werte sind im Kontext plausibel: Ein iPhone XS für ~890$ liegt im realistischen Preisbereich für dieses Modell (2020). Die hohen Views (20.296) und viele Replies (85) passen zu einem beliebten Apple-Produkt. Die negativen Votes (-73) deuten darauf hin, dass die Community den Deal als nicht attraktiv bewertet, was bei fehlendem Rabatt (saving: 0.0) nachvollziehbar ist.","['replies', 'views', 'votes', 'price', 'saving']"
176,False,"Die Werte sind für einen iTunes-Geschenkkarten-Deal bei Costco plausibel: Der Rabatt (~14% Ersparnis) ist attraktiv genug für 27 positive Votes und 32 Antworten, während 6679 Views für ein zeitlich begrenztes Mitgliederangebot im Entertainment-Bereich angemessen erscheinen. Alle Engagement-Metriken stehen in einem nachvollziehbaren Verhältnis zueinander.","['replies', 'views', 'votes', 'price', 'saving']"
177,True,"Die Kombination aus extrem hohen Views (25.370) und vielen Replies (92) bei gleichzeitig 0 Votes ist sehr ungewöhnlich. Bei einem so stark beachteten und diskutierten Deal würde man normalerweise deutliche positive oder negative Votes erwarten, nicht exakt 0.","['replies', 'views', 'votes', 'price', 'saving']"
178,False,"Die Werte sind für einen Ninja Foodi Air Fryer Oven im Preissegment um 200$ plausibel. Hohe Views (17733) und moderate Engagement-Werte (67 Replies, 15 Votes) passen zu einem beliebten Küchengerät mit attraktivem Promo-Code-Angebot.","['replies', 'views', 'votes', 'price', 'saving']"
179,False,"Die Werte sind für einen Ninja Foodi Air Fryer Oven im Preissegment um 200$ plausibel und konsistent. Das Produkt ist eine beliebte Küchenmarke, der Preis liegt im erwarteten Bereich, und die hohen Views (17735) sowie moderate Engagement-Werte (67 Replies, 15 Votes) passen zu einem attraktiven Deal für ein gefragtes Haushaltsgerät.","['replies', 'views', 'votes', 'price', 'saving']"
180,False,"Die Werte sind im Kontext plausibel: Der Preis von 7,47€ für Sea Foam Motorbehandlung ist realistisch, die Ersparnis von 44€ erscheint jedoch ungewöhnlich hoch für diesen niedrigen Endpreis. Die Engagement-Werte (2293 Views, 7 Replies, 3 Votes) sind für einen Automotive-Deal mit zwei Produkten angemessen, auch wenn die Kategorisierung unter 'Beauty & Wellness' fehlerhaft erscheint.","['replies', 'views', 'votes', 'price', 'saving']"
181,False,"Die Werte sind für ein Videospiel-Angebot plausibel: Preis von 9.96$ für Battlefield V ist ein typischer Rabattpreis für ein älteres AAA-Spiel, und die Engagement-Werte (2455 Views, 11 Replies, 2 Votes) passen zu einem soliden Deal mit moderatem Interesse.","['replies', 'views', 'votes', 'price', 'saving']"
182,False,"Die Werte sind im Kontext plausibel: Ein Smartphone für 181 CAD liegt im Budget-Segment, was zu den Spezifikationen (UMIDIGI, 128GB/4GB) passt. Die hohen Views (17436) und Replies (95) bei 0 Votes deuten auf ein kontrovers diskutiertes Angebot hin, was bei Budget-Smartphones mit unbekannteren Marken typisch ist.","['replies', 'views', 'votes', 'price', 'saving']"
183,False,"Die Werte sind für eine Kreditkarten-Anmeldung mit 100.000 Bonuspunkten plausibel. Hohe Views (140k), viele Replies (874) und positive Votes (164) passen zu einem attraktiven Finanzprodukt-Deal mit langer Laufzeit (Mai-August 2020), der über Monate Aufmerksamkeit generierte.","['replies', 'views', 'votes', 'price', 'saving']"
184,False,"Die Werte sind für einen Office-Supplies-Deal bei Staples plausibel: Preis von 4.99$ für 500 Blatt Papier ist realistisch, die Ersparnis von 2$ passt dazu. Die 917 Views bei 2 Replies und 0 Votes zeigen moderates Interesse an einem alltäglichen Büroartikel, was für diese Produktkategorie erwartbar ist.","['replies', 'views', 'votes', 'price', 'saving']"
185,False,Ein kostenloses AAA-Spiel (Watchdogs 2) als Werbeaktion erklärt die extrem hohen Views (79986) und Replies (517) bei 100% Ersparnis perfekt. Die Werte sind für eine zeitlich begrenzte Gratis-Aktion eines bekannten Spiels absolut erwartbar und nicht ungewöhnlich.,"['replies', 'views', 'votes', 'price', 'saving']"
186,True,"Die Kombination aus extrem hohen Views (11.803) bei nur 15 Votes und einem Preis von 0€ für verschreibungspflichtige Brillen ist ungewöhnlich. Selbst bei einem Rabattcode würde man für Brillen einen Grundpreis erwarten, und das Engagement-Verhältnis (Views zu Votes) ist stark verzerrt.","['replies', 'views', 'votes', 'price', 'saving']"
187,False,"Die Werte sind für einen Rabatt-Deal auf Haushaltsgeräte (Shark-Reinigungsprodukte) plausibel: 5586 Views und 32 Replies zeigen solides Interesse, 8 Votes sind moderat positiv, und eine Ersparnis von bis zu 150€ bei price=0 (vermutlich Rabattaktion ohne festen Einzelpreis) passt zum Kontext von Home & Garden-Deals.","['replies', 'views', 'votes', 'price', 'saving']"
188,False,"Die hohen Engagement-Werte (95.993 Views, 442 Replies, 106 Votes) sind für einen 'Potential pricing error deal' bei Auto-Anhängerkupplungen plausibel, da Pricing-Errors im Deal-Forum große Aufmerksamkeit erregen und intensive Diskussionen auslösen. Price und Saving bei 0.0 sind konsistent mit einem Pricing-Error-Szenario, bei dem der tatsächliche Preis unklar oder extrem niedrig war.","['replies', 'views', 'votes', 'price', 'saving']"
189,True,"Der angegebene Originalpreis von 579.99$ für einen Harman Kardon Onyx Studio 5 Bluetooth-Lautsprecher ist unrealistisch hoch (typischer UVP liegt bei ca. 300-350$), was die berechnete Ersparnis von 65$ verfälscht. Zudem sind 6982 Views bei nur 1 Vote und 18 Replies ein extrem ungewöhnliches Engagement-Verhältnis, das auf Dateninkonsistenz hindeutet.","['replies', 'views', 'votes', 'price', 'saving']"
190,False,"Die Werte sind im Kontext eines Valentino Warehouse Sales mit bis zu 80% Rabatt plausibel. Hohe Views (911) bei negativen Votes (-3) und wenigen Replies (3) deuten auf Interesse am Markenprodukt, aber möglicherweise Skepsis bezüglich des Angebots oder der Quelle hin, was bei Luxusmarken-Deals typisch ist.","['replies', 'views', 'votes', 'price', 'saving']"
191,True,"Die 28.905 Views sind für True Wireless Earbuds im Preissegment von 19,99$ extrem hoch und passen nicht zur geringen Engagement-Rate (0 Votes, obwohl 132 Replies vorhanden sind). Das Verhältnis von sehr hohen Views zu fehlendem Vote-Engagement ist für diesen Produkttyp und Preis ungewöhnlich auffällig.","['replies', 'views', 'votes', 'price', 'saving']"
192,False,"Die Werte sind für eine Indoor-Kamera im mittleren Preissegment (60 CAD) mit 20 CAD Ersparnis plausibel. Die Engagement-Werte (3070 Views, 19 Replies, 8 Votes) passen zu einem attraktiven Elektronik-Deal mit moderater Community-Resonanz.","['replies', 'views', 'votes', 'price', 'saving']"
193,False,"Dies ist ein wöchentlicher Sammelthread für Costco-Angebote in westkanadischen Provinzen, erkennbar am Titel-Format und der Kategorie 'Groceries'. Die hohen Views (23374), viele Replies (71) und positive Votes (120) sind für solche regelmäßigen, beliebten Sammelthreads typisch und erwartbar. Preis und Saving sind 0, da es sich um einen Übersichtsthread handelt, nicht um ein einzelnes Produkt.","['replies', 'views', 'votes', 'price', 'saving']"
194,False,"Die Werte sind für einen Dell Ultrasharp 27"" 4K Monitor mit USB-C plausibel: Der Preis von 740$ liegt im erwartbaren Bereich für hochwertige 4K-Monitore dieser Marke, und die Engagement-Werte (4578 Views, 27 Replies, 2 Votes) passen zu einem Elektronik-Deal im mittleren Preissegment mit moderatem Interesse.","['replies', 'views', 'votes', 'price', 'saving']"
195,False,"Die Werte sind für Bluetooth-Kopfhörer im mittleren Preissegment (ca. 62 CAD) plausibel. Die Engagement-Werte (6155 Views, 23 Replies, 10 Votes) passen zu einem beliebten Elektronik-Deal mit bekannter Marke (Anker) und geringer Ersparnis (0,23 CAD).","['replies', 'views', 'votes', 'price', 'saving']"
196,False,"Die Werte sind für ein Geschirrspültabs-Angebot plausibel: 11,22$ für 80 Tabletten ist ein realistischer Preis, 4509 Views und 44 Antworten zeigen normales Interesse an einem Haushaltsprodukt-Deal, und 0 Votes (neutral) ist bei solchen Alltagsprodukten nicht ungewöhnlich.","['replies', 'views', 'votes', 'price', 'saving']"
197,True,"Die Engagement-Werte (286.662 Views und 1.070 Replies) sind für einen Prepaid-Handytarif extrem hoch und ungewöhnlich, selbst wenn das Angebot attraktiv ist. Diese Aktivitätslevel liegen weit über dem typischen Niveau für Mobilfunktarif-Deals und deuten auf eine statistische Anomalie hin.","['replies', 'views', 'votes', 'price', 'saving']"
198,False,"Weber Genesis II CE-330 ist ein Premium-Gasgrill, für den ein Preis von ca. 1000€ marktüblich ist. Die sehr hohen Views (211.563) und Replies (594) bei moderaten Votes (33) passen zu einem langfristig beliebten Deal für ein hochwertiges Outdoor-Produkt bei Costco.","['replies', 'views', 'votes', 'price', 'saving']"
199,False,"Die Werte sind für einen hochwertigen Gaming-Monitor (27 Zoll, 2.5K, 144Hz) konsistent und plausibel. Der Preis von ~460 CAD liegt im erwartbaren Bereich für diese Spezifikationen, und die Engagement-Werte (5782 Views, 37 Replies, 7 Votes) zeigen typisches Interesse an einem beliebten Elektronik-Deal.","['replies', 'views', 'votes', 'price', 'saving']"
200,False,"Die Werte sind für ein hochwertiges 13-teiliges Kochgeschirr-Set aus 5-lagigem Edelstahl im Kontext plausibel: Der Preis von 299,99€ ist realistisch für Commercial-Grade Lagostina-Produkte, und die Engagement-Werte (3254 Views, 19 Replies bei leicht negativen Votes) passen zu einem soliden Deal in der Home & Garden Kategorie, der Interesse weckt aber nicht außergewöhnlich viral geht.","['replies', 'views', 'votes', 'price', 'saving']"
201,False,"Die Werte sind im Kontext plausibel: 50 nicht-medizinische Masken für 12,99 CAD (ca. 0,26 CAD/Stück) ist ein attraktiver Deal während der Pandemie 2020. Die hohen Views (5001), moderaten Votes (10) und Replies (12) passen zur Relevanz und zum Interesse an Masken in dieser Zeit.","['replies', 'views', 'votes', 'price', 'saving']"
202,True,"Die Anzahl der Views (7935) ist extrem hoch im Verhältnis zu den sehr niedrigen Engagement-Werten (nur 20 Antworten und 1 Vote) für einen Deal mit moderatem Preis und Ersparnis. Bei fast 8000 Aufrufen wären deutlich mehr Interaktionen zu erwarten, was auf eine ungewöhnliche Diskrepanz hindeutet.","['replies', 'views', 'votes', 'price', 'saving']"
203,False,"Die Werte sind im Kontext plausibel: Ein Amazon Fire HD 8 Tablet für 89,99 CAD ist ein realistischer Preis für dieses Budget-Tablet. Die hohen Views (13632) und Replies (64) bei niedrigen Votes (2) deuten auf ein beliebtes, häufig diskutiertes Angebot hin, was für ein bekanntes Markenprodukt im mittleren Preissegment typisch ist.","['replies', 'views', 'votes', 'price', 'saving']"
204,False,"Die Werte sind im Kontext eines attraktiven Mobilfunkvertrags mit kostenlosem Premium-Smartphone (Samsung A71, Wert ~600€) plausibel. Hohe Views (12003) und moderate Engagement-Werte (65 Replies, 7 Votes) passen zur Attraktivität eines Deals mit erheblicher Ersparnis (600€) bei einem Mobilfunkanbieter.","['replies', 'views', 'votes', 'price', 'saving']"
205,False,"Die Werte sind für ein Kamado Joe Rotisserie-Zubehör plausibel: Der Preis von 262 CAD ist realistisch für hochwertiges Grillzubehör dieser Marke, die Ersparnis von 0,2 CAD ist minimal aber möglich, und die Engagement-Werte (4300 Views, 28 Replies, 4 Votes) passen zu einem Nischenprodukt im BBQ-Segment mit moderatem Interesse.","['replies', 'views', 'votes', 'price', 'saving']"
206,True,"Die Engagement-Werte (57.029 Views, 304 Replies, 175 Votes) sind für ein Staubsauger-Zubehör-Angebot (Staubsaugerbeutel + gratis HEPA-Filter für ~40€) extrem hoch und ungewöhnlich. Solche Haushaltsartikel generieren typischerweise deutlich weniger Aufmerksamkeit, selbst bei guten Deals.","['replies', 'views', 'votes', 'price', 'saving']"
207,False,"Die Werte sind für eine Sony Soundbar im mittleren Preissegment (399,99€ mit 100€ Ersparnis) plausibel. Die hohen Views (6232) und moderate Diskussion (24 Antworten) passen zu einem attraktiven Elektronik-Deal, während die leicht negativen Votes (-4) auf gemischte Meinungen hindeuten, was bei Instore-Only-Angeboten durchaus üblich ist.","['replies', 'views', 'votes', 'price', 'saving']"
208,False,"Die Werte sind für 4K Steelbook-Editionen von Disney/Pixar/Marvel plausibel: Preis von 24.99$ entspricht einem typischen Deal-Preis für diese Sammlerausgaben, und die Engagement-Werte (1989 Views, 6 Replies, 11 Votes) passen zu einem attraktiven Entertainment-Deal mit breiter Zielgruppe bei Best Buy.","['replies', 'views', 'votes', 'price', 'saving']"
209,False,"Die Werte sind für 4K Steelbook-Sammlereditionen von Disney/Pixar/Marvel plausibel: Der Preis von 24.99$ liegt im typischen Bereich für solche Premium-Editionen, und die moderate Engagement-Rate (1992 Views, 11 Votes, 6 Replies) passt zu einem Nischen-Deal für Sammler im Entertainment-Bereich.","['replies', 'views', 'votes', 'price', 'saving']"
210,False,"Die Werte sind für eine 1TB NVMe SSD im Kontext plausibel: Der Preis von ~175 CAD liegt im realistischen Bereich für dieses Produkt (2020), die Engagement-Werte (1090 Views, 6 Replies) sind moderat und typisch für Computer-Hardware-Deals, und die negativen Votes (-6) deuten auf einen weniger attraktiven Deal hin, was bei diesem Preispunkt nachvollziehbar ist.","['replies', 'views', 'votes', 'price', 'saving']"
211,False,"Die Werte sind im Kontext plausibel: Ein medizinisches Laser-Haarwuchsgerät für ~790$ liegt im realistischen Preissegment für solche Spezialgeräte. Die hohen Views (18.721) und viele Replies (117) bei negativen Votes (-25) deuten auf ein kontroverses, aber interessantes Produkt hin, was bei teuren Beauty-/Wellness-Geräten typisch ist.","['replies', 'views', 'votes', 'price', 'saving']"
212,True,"Die Anzahl der Views (33.468) ist für ein Bidet-Produkt im Preissegment von 39,99€ extrem hoch und steht in keinem realistischen Verhältnis zu den Replies (164) und Votes (87). Solch außergewöhnlich hohe Aufrufzahlen wären selbst für sehr beliebte Elektronik-Deals ungewöhnlich, für ein Nischen-Badezimmerprodukt jedoch besonders auffällig.","['replies', 'views', 'votes', 'price', 'saving']"
213,False,"Die Werte sind für einen Apparel-Deal mit 70% Rabatt auf Tom's Schuhe (Classics für $30) plausibel. Die hohen Views (1252) bei geringen Replies (1) und Votes (1) passen zu einem zeitlich begrenzten Sample Sale, der viel Interesse weckt, aber wenig Diskussion erzeugt.","['replies', 'views', 'votes', 'price', 'saving']"
214,False,"Die Werte sind für ein AAA-Videospiel (Star Wars Jedi Fallen Order) plausibel: Preis von 39.96 CAD liegt im typischen Bereich für reduzierte Konsolenspiele, 2647 Views und 13 Replies zeigen normales Interesse an einem populären Star Wars-Titel, 2 Votes sind unauffällig. Keine Ersparnis angegeben (0.0) ist zwar suboptimal, aber kein Ausreißer.","['replies', 'views', 'votes', 'price', 'saving']"
215,False,"Die Werte sind für einen Luftentfeuchter (35-Pint Dehumidifier) im mittleren Preissegment (199€ vor Rabatt, 35€ Ersparnis) plausibel. Die moderate Engagement-Rate (872 Views, 1 Reply, 1 Vote) passt zu einem regionalen Deal (Ontario Only) für ein Haushaltsgerät der Marke Insignia.","['replies', 'views', 'votes', 'price', 'saving']"
216,False,"Ein Kindersitz für 359,99$ mit 70$ Ersparnis liegt im realistischen Preissegment für hochwertige Convertible Car Seats (Diono Radian 3RXT ist ein Premium-Modell). Die Engagement-Werte (4650 Views, 19 Replies, 4 Votes) sind für einen Baby-Artikel mit solidem Deal angemessen und zeigen normales Interesse.","['replies', 'views', 'votes', 'price', 'saving']"
217,False,"Die Werte sind für ein Finanzprodukt-Angebot plausibel: 7044 Views, 25 Replies und 10 Votes zeigen solides Interesse an einem Sparkonto mit 2,5% Zinsen. Der Preis von 0€ ist bei Finanzdienstleistungen (Kontoeröffnung) erwartbar, und die 'saving' von 2,5 repräsentiert hier den Zinssatz, nicht eine monetäre Ersparnis.","['replies', 'views', 'votes', 'price', 'saving']"
218,True,"Die 14.499 Views sind für ein günstiges Gaming-Mauspad (14,99$) extrem ungewöhnlich hoch und passen nicht zum moderaten Engagement (51 Replies, 59 Votes). Solch hohe Aufrufzahlen wären eher bei hochpreisigen Produkten oder außergewöhnlichen Deals zu erwarten.","['replies', 'views', 'votes', 'price', 'saving']"
219,False,"Die Werte sind für einen lokalen Pizza-Rabattcode plausibel: 719 Views und 2 Replies zeigen moderates Interesse, 0 Votes sind bei neutralen Deals üblich. Price und Saving bei 0.0 sind nachvollziehbar, da es sich um einen prozentualen Rabattcode handelt, nicht um einen festen Preis.","['replies', 'views', 'votes', 'price', 'saving']"
220,False,"Die Werte sind für ein Finanzdienstleistungs-Angebot ($10 Signup-Bonus) plausibel: 2845 Views zeigen moderates Interesse, 10 Replies und 5 Votes sind typisch für solche Referral-/Bonus-Deals. Preis und Saving bei 0.0 sind korrekt, da es sich um einen Anmeldebonus handelt, nicht um einen Produktkauf.","['replies', 'views', 'votes', 'price', 'saving']"
221,False,"Die Werte sind für einen 65"" Sony 4K HDR TV mit 700€ Ersparnis und zusätzlicher 100€ Geschenkkarte plausibel. Hohe Views (60246), viele Replies (304) und positive Votes (42) passen zu einem attraktiven Deal für ein hochpreisiges Elektronikprodukt, das typischerweise großes Interesse weckt.","['replies', 'views', 'votes', 'price', 'saving']"
222,False,"Die hohen Engagement-Werte (130.126 Views, 836 Replies, 99 Votes) sind für ein attraktives Kreditkarten-Cashback-Angebot bei American Express plausibel, da solche Deals großes Interesse in Deal-Foren wecken. Price und Saving bei 0.0 sind hier erwartbar, da es sich um ein Kreditkartenangebot und nicht um einen direkten Produktverkauf handelt.","['replies', 'views', 'votes', 'price', 'saving']"
223,False,"Die hohen Engagement-Werte (167.756 Views, 1.139 Replies, 96 Votes) sind für eine Amex Platinum Kreditkarten-Aktion mit verdoppelten Rewards und bis zu 12% Cashback absolut plausibel. Solche Premium-Kreditkartenangebote mit attraktiven Bonusprogrammen erzeugen typischerweise sehr hohes Interesse in Deal-Foren, und die langen Laufzeiten (April bis Juli 2020) erklären die akkumulierten Interaktionszahlen.","['replies', 'views', 'votes', 'price', 'saving']"
224,False,"Die Werte sind im Kontext eines Rakuten-Cashback-Deals plausibel: 1764 Views, 14 Replies und negative Votes (-5) deuten auf moderate Aufmerksamkeit bei gemischter Resonanz hin. Der Preis von 0€ mit 57,50€ Ersparnis passt zu einem Cashback-Angebot, bei dem keine direkten Kosten anfallen.","['replies', 'views', 'votes', 'price', 'saving']"
225,False,"Die Werte sind für ein Restaurant-Deal-Angebot mit Uber Eats plausibel: 2521 Views zeigen gutes Interesse an einem attraktiven Essenslieferungs-Deal ($7 Rabatt auf 4 Bestellungen), 9 Replies sind angemessen für Rückfragen, 0 Votes können bei neutraler Community-Bewertung vorkommen, und Preis 0€ mit 7€ Ersparnis passt zu einem reinen Rabatt-Code ohne Mindestkosten.","['replies', 'views', 'votes', 'price', 'saving']"
226,False,"Die Werte sind im Kontext eines attraktiven Banking-Angebots (200$ Bonus für Kontowechsel) plausibel. Hohe Views (68628) und viele Replies (282) bei moderaten Votes (50) passen zu einem zeitlich begrenzten Finanzangebot, das viele Nutzer interessiert und Diskussionen auslöst, während price=0 und saving=200 das Bonusangebot korrekt widerspiegeln.","['replies', 'views', 'votes', 'price', 'saving']"
227,True,"Die 38.407 Views sind für ein Kochgeschirr-Set im Wert von 270$ extrem hoch und passen nicht zur moderaten Engagement-Rate (122 Replies, 10 Votes). Solch hohe Aufrufzahlen wären eher bei viral gegangenen Elektronik-Deals oder extrem günstigen Angeboten zu erwarten, nicht bei einem Mittelklasse-Kochset.","['replies', 'views', 'votes', 'price', 'saving']"
228,False,"Die Werte sind für einen Lebensmittel-Deal mit 57% Rabatt auf ein Premium-Produkt plausibel. Der Preis von 3€ für eine hochwertige Kakao-Mischung, 2194 Views, 8 Antworten und 6 Votes passen gut zu einem attraktiven Grocery-Deal mit hoher Ersparnis.","['replies', 'views', 'votes', 'price', 'saving']"
229,False,"Der Preis von ca. 1170$ für ein Galaxy Book S Laptop (inkl. Buds+) ist realistisch für dieses Premium-Ultrabook. Die Engagement-Werte (2680 Views, 6 Replies, 1 Vote) sind für einen durchschnittlichen Elektronik-Deal angemessen, wobei die niedrige Vote-Zahl auf moderate Deal-Attraktivität hindeutet.","['replies', 'views', 'votes', 'price', 'saving']"
230,False,"Die Werte sind für einen iTunes-Filmverleih im Angebotspreis von $0.99 plausibel. 708 Views, 3 Votes und 1 Reply zeigen moderates Interesse an einem günstigen Entertainment-Deal, was im Kontext der Kategorie und des Produkttyps unauffällig ist.","['replies', 'views', 'votes', 'price', 'saving']"
231,False,"Die Werte sind für einen attraktiven Xbox Live Gold Deal plausibel: Der Preis von 33,89 CAD für 12 Monate ist günstig und erklärt die hohe Engagement-Rate (28.231 Views, 106 Replies, 46 Votes). Gaming-Deals mit VPN-Requirement ziehen typischerweise viel Aufmerksamkeit an, daher sind die Metriken im erwartbaren Rahmen.","['replies', 'views', 'votes', 'price', 'saving']"
232,False,"Ein Spin Bike für 699$ liegt im realistischen Preissegment für Fitnessgeräte dieser Kategorie. Die Engagement-Werte (16.310 Views, 45 Replies, 11 Votes) sind für ein höherpreisiges Sportgerät während der Pandemie-Zeit (Juni 2020, als Home-Fitness stark nachgefragt war) plausibel und unauffällig.","['replies', 'views', 'votes', 'price', 'saving']"
233,False,"Die Werte sind im Kontext plausibel: Ein Deal für olympische Team-Bekleidung ohne konkreten Preis (0.0) ist typisch für Sammel-Links zu Kollektionen. Die moderate Engagement-Rate (2335 Views, 9 Votes, 3 Replies) passt zu einem Apparel-Deal mit Markenware, der solides aber nicht außergewöhnliches Interesse weckt.","['replies', 'views', 'votes', 'price', 'saving']"
234,False,"Die Werte sind für kostenlose Epic Games Store Angebote typisch: Preis und Ersparnis bei 0€ sind korrekt für Gratis-Spiele, die hohen Views (12571) und Replies (46) passen zur Beliebtheit solcher wöchentlichen Free-Game-Aktionen, und 0 Votes sind bei diesem Deal-Typ nicht ungewöhnlich.","['replies', 'views', 'votes', 'price', 'saving']"
235,False,"Die Werte sind für ein günstiges Lebensmittelprodukt (italienische Kekse für 81 Cent) plausibel: moderate Views (2108), durchschnittliche Diskussion (17 Replies) und neutrale Votes (0) passen zu einem Nischen-Grocery-Deal mit geringem Sparpotenzial (0€ Ersparnis angegeben). Preis und Engagement sind im erwartbaren Bereich für diese Produktkategorie.","['replies', 'views', 'votes', 'price', 'saving']"
236,False,"Die Werte sind im Kontext eines Amex-Kreditkartenangebots plausibel: 3931 Views, 19 Replies und 8 Votes zeigen solides Interesse an einem attraktiven Cashback-Deal (3x $10 Guthaben). Price und Saving bei 0.0 sind für Kreditkartenangebote typisch, da es sich um Konditionen und nicht um Produktpreise handelt.","['replies', 'views', 'votes', 'price', 'saving']"
237,True,"Ein elektrisches Fahrrad (E-Bike) für 75$ ist extrem ungewöhnlich, da solche Produkte typischerweise mehrere hundert bis tausende Dollar kosten. Trotz des attraktiven Preises sind die Engagement-Werte (0 Votes bei 1909 Views und 14 Replies) ungewöhnlich niedrig für einen derart außergewöhnlichen Deal, was auf einen möglichen Fehler oder sehr limitierte Verfügbarkeit (YMMV) hindeutet.","['replies', 'views', 'votes', 'price', 'saving']"
238,False,"Ein Cashback-Event bei Rakuten mit 10% Rückerstattung zeigt typische Engagement-Werte: 2791 Views, 4 Votes und 4 Replies sind für ein zeitlich begrenztes Cashback-Angebot plausibel. Preis und Saving sind 0, da es sich um ein allgemeines Event und nicht um ein spezifisches Produkt handelt, was bei solchen Aktionen üblich ist.","['replies', 'views', 'votes', 'price', 'saving']"
239,False,"Die Werte sind für ein Cashback-Event bei Rakuten plausibel: 2793 Views zeigen gutes Interesse an einem zeitlich begrenzten Angebot, 4 Votes und 4 Replies sind für solche Aktionen typisch. Preis und Saving sind 0, da es sich um ein allgemeines Cashback-Event handelt, nicht um ein spezifisches Produkt.","['replies', 'views', 'votes', 'price', 'saving']"
240,False,"Die Werte sind im Kontext plausibel: Adobe Creative Cloud All Apps für 39,99€ (nach 25€ Rabatt) ist ein realistischer Preis für ein Jahresabonnement im Sale. Die 2009 Views und 7 Replies zeigen moderates Interesse an einem Software-Deal, während die -3 Votes auf gemischte Resonanz hindeuten, was bei Adobe-Abonnements durchaus üblich ist.","['replies', 'views', 'votes', 'price', 'saving']"
241,False,"Die Werte sind für ein Bankkonto-Angebot mit 300$ Bonus plausibel: 10.650 Views, 52 Antworten und 14 Votes zeigen solides Interesse an einem attraktiven Finanzangebot. Preis 0€ und Ersparnis 300$ passen zum typischen Muster von Bank-Promotions (kostenlos eröffnen, Bonus erhalten).","['replies', 'views', 'votes', 'price', 'saving']"
